Official NCBI gene id,Official NCBI gene symbol
5921,RASA1
7867,MAPKAPK3
23300,ATMIN
836,CASP3
79143,MBOAT7
5721,PSME2
11284,PNKP
11188,NISCH
23443,SLC35A3
10898,CPSF4
51599,LSR
4208,MEF2C
9276,COPB2
1647,GADD45A
5927,KDM5A
10285,SMNDC1
55793,FAM63A
5867,RAB4A
23386,NUDCD3
2263,FGFR2
7866,IFRD2
3156,HMGCR
25825,BACE2
4067,LYN
10237,SLC35B1
7077,TIMP2
51015,ISOC1
1845,DUSP3
11157,LSM6
808,CALM3
5891,MOK
22908,SACM1L
23368,PPP1R13B
3300,DNAJB2
10915,TCERG1
9897,KIAA0196
64781,CERK
1759,DNM1
51056,LAP3
8550,MAPKAPK5
54541,DDIT4
211,ALAS1
50810,HDGFRP3
5048,PAFAH1B1
5583,PRKCH
23011,RAB21
84722,PSRC1
11168,PSIP1
30001,ERO1A
348,APOE
1385,CREB1
10150,MBNL2
29890,RBM15B
9868,TOMM70A
29763,PACSIN3
873,CBR1
9112,MTA1
5580,PRKCD
23499,MACF1
8900,CCNA1
30849,PIK3R4
1454,CSNK1E
85236,HIST1H2BK
3725,JUN
5096,PCCB
23585,TMEM50A
55620,STAP2
5373,PMM2
51097,SCCPDH
1831,TSC22D3
51170,HSD17B11
7020,TFAP2A
54850,FBXL12
55893,ZNF395
80349,WDR61
355,FAS
6944,VPS72
1062,CENPE
22883,CLSTN1
5601,MAPK9
8804,CREG1
6500,SKP1
80758,PRR7
10775,POP4
375346,TMEM110
4780,NFE2L2
51385,ZNF589
581,BAX
10904,BLCAP
9917,FAM20B
55748,CNDP2
5627,PROS1
10318,TNIP1
1399,CRKL
54681,P4HTM
7905,REEP5
24149,ZNF318
2222,FDFT1
28969,BZW2
10131,TRAP1
10668,CGRRF1
2958,GTF2A2
51005,AMDHD2
5715,PSMD9
8800,PEX11A
9650,MTFR1
54438,GFOD1
7319,UBE2A
55825,PECR
4817,NIT1
8835,SOCS2
9143,SYNGR3
64429,ZDHHC6
3682,ITGAE
4791,NFKB2
10329,TMEM5
10494,STK25
27109,ATP5S
55324,ABCF3
23149,FCHO1
51335,NGRN
3202,HOXA5
9943,OXSR1
2896,GRN
6599,SMARCC1
56924,PAK6
79902,NUP85
2690,GHR
29083,GTPBP8
5747,PTK2
51031,GLOD4
1019,CDK4
22905,EPN2
3566,IL4R
63933,MCUR1
9847,C2CD5
51422,PRKAG2
3815,KIT
51021,MRPS16
5788,PTPRC
6193,RPS5
8624,PSMG1
8996,NOL3
7376,NR1H2
27346,TMEM97
5357,PLS1
10489,LRRC41
26128,KIF1BP
56940,DUSP22
6195,RPS6KA1
79921,TCEAL4
1633,DCK
55746,NUP133
23321,TRIM2
23636,NUP62
10892,MALT1
51160,VPS28
10652,YKT6
55604,LRRC16A
11004,KIF2C
11261,CHP1
6622,SNCA
6709,SPTAN1
2063,NR2F6
23530,NNT
1277,COL1A1
54512,EXOSC4
993,CDC25A
9124,PDLIM1
7157,TP53
79174,CRELD2
8826,IQGAP1
23223,RRP12
39,ACAT2
1958,EGR1
4582,MUC1
57215,THAP11
1052,CEBPD
9212,AURKB
3308,HSPA4
23139,MAST2
7153,TOP2A
79947,DHDDS
4616,GADD45B
8440,NCK2
6790,AURKA
9710,KIAA0355
6990,DYNLT3
11041,B4GAT1
8851,CDK5R1
29082,CHMP4A
6342,SCP2
9670,IPO13
5883,RAD9A
81533,ITFG1
6696,SPP1
10589,DRAP1
5110,PCMT1
10525,HYOU1
2353,FOS
2534,FYN
4609,MYC
57192,MCOLN1
3398,ID2
5423,POLB
1070,CETN3
3775,KCNK1
8312,AXIN1
10051,SMC4
6603,SMARCD2
26064,RAI14
9019,MPZL1
29103,DNAJC15
3206,HOXA10
4893,NRAS
835,CASP2
10969,EBNA1BP2
1500,CTNND1
9797,TATDN2
4043,LRPAP1
7690,ZNF131
665,BNIP3L
29911,HOOK2
2064,ERBB2
9519,TBPL1
8480,RAE1
65123,INTS3
983,CDK1
5986,RFNG
10559,SLC35A1
85377,MICALL1
8508,NIPSNAP1
9903,KLHL21
7088,TLE1
9275,BCL7B
8324,FZD7
8914,TIMELESS
22796,COG2
54505,DHX29
4313,MMP2
51116,MRPS2
6919,TCEA2
54442,KCTD5
2274,FHL2
10695,CNPY3
102,ADAM10
2288,FKBP4
965,CD58
7994,KAT6A
1022,CDK7
3800,KIF5C
4216,MAP3K4
10362,HMG20B
5300,PIN1
7538,ZFP36
3628,INPP1
8270,LAGE3
5880,RAC2
27242,TNFRSF21
3162,HMOX1
9928,KIF14
1282,COL4A1
1848,DUSP6
1534,CYB561
2037,EPB41L2
2771,GNAI2
5654,HTRA1
7264,TSTA3
10810,WASF3
1786,DNMT1
7105,TSPAN6
5873,RAB27A
23014,FBXO21
780,DDR1
55012,PPP2R3C
154,ADRB2
9926,LPGAT1
2887,GRB10
8446,DUSP11
4312,MMP1
7159,TP53BP2
1026,CDKN1A
9183,ZW10
7082,TJP1
11151,CORO1A
7511,XPNPEP1
10058,ABCB6
10046,MAMLD1
10797,MTHFD2
1829,DSG2
11230,PRAF2
11000,SLC27A3
30836,DNTTIP2
976,ADGRE5
27336,HTATSF1
3597,IL13RA1
9918,NCAPD2
178,AGL
79073,TMEM109
994,CDC25B
3383,ICAM1
2625,GATA3
9688,NUP93
6119,RPA3
23659,PLA2G15
8396,PIP4K2B
26136,TES
6697,SPR
23077,MYCBP2
5971,RELB
10857,PGRMC1
16,AARS
2048,EPHB2
2817,GPC1
22934,RPIA
9289,ADGRG1
60528,ELAC2
4931,NVL
5359,PLSCR1
1111,CHEK1
1514,CTSL1
1509,CTSD
4200,ME2
5154,PDGFA
9181,ARHGEF2
3611,ILK
93594,TBC1D31
4783,NFIL3
5982,RFC2
10123,ARL4C
26520,TIMM9
4998,ORC1
8895,CPNE3
727,C5
10038,PARP2
9805,SCRN1
60493,FASTKD5
4125,MAN2B1
51495,HACD3
4482,MSRA
4792,NFKBIA
1635,DCTD
23224,SYNE2
4154,MBNL1
9690,UBE3C
26292,MYCBP
80212,CCDC92
2920,CXCL2
5770,PTPN1
25874,MPC2
29928,TIMM22
11319,ECD
22809,ATF5
1153,CIRBP
50814,NSDHL
4794,NFKBIE
55256,ADI1
11098,PRSS23
56997,ADCK3
902,CCNH
81544,GDPD5
6894,TARBP1
8974,P4HA2
533,ATP6V0B
64080,RBKS
823,CAPN1
55818,KDM3A
637,BID
6812,STXBP1
3693,ITGB5
22823,MTF2
3122,HLA-DRA
4891,SLC11A2
5287,PIK3C2B
10954,PDIA5
5909,RAP1GAP
91137,SLC25A46
9221,NOLC1
23097,CDK19
847,CAT
9851,KIAA0753
11072,DUSP14
23522,KAT6B
1123,CHN1
8091,HMGA2
3486,IGFBP3
5603,MAPK13
10221,TRIB1
51569,UFM1
2769,GNA15
7158,TP53BP1
10818,FRS2
55699,IARS2
2624,GATA2
8678,BECN1
5900,RALGDS
11014,KDELR2
1994,ELAVL1
8204,NRIP1
3454,IFNAR1
9133,CCNB2
4282,MIF
10921,RNPS1
1605,DAG1
6304,SATB1
10644,IGF2BP2
51742,ARID4B
2954,GSTZ1
3482,IGF2R
25976,TIPARP
27244,SESN1
10491,CRTAP
23013,SPEN
5211,PFKL
51053,GMNN
8050,PDHX
9267,CYTH1
5547,PRCP
79961,DENND2D
2017,CTTN
6597,SMARCA4
5836,PYGL
55148,UBR7
2886,GRB7
6118,RPA2
960,CD44
2065,ERBB3
2961,GTF2E2
10451,VAV3
310,ANXA7
57406,ABHD6
7296,TXNRD1
9261,MAPKAPK2
8321,FZD1
51719,CAB39
1429,CRYZ
7074,TIAM1
2548,GAA
10059,DNM1L
6499,SKIV2L
51071,DERA
642,BLMH
5796,PTPRK
23076,RRP1B
55008,HERC6
8569,MKNK1
10099,TSPAN3
8503,PIK3R3
23597,ACOT9
8869,ST3GAL5
9817,KEAP1
7027,TFDP1
8727,CTNNAL1
9126,SMC3
63874,ABHD4
3930,LBR
8821,INPP4B
10450,PPIE
57178,ZMIZ1
5468,PPARG
54386,TERF2IP
664,BNIP3
10557,RPP38
596,BCL2
831,CAST
9531,BAG3
10180,RBM6
1445,CSK
2767,GNA11
230,ALDOC
1861,TOR1A
9246,UBE2L6
10165,SLC25A13
6850,SYK
7106,TSPAN4
2908,NR3C1
5092,PCBD1
23463,ICMT
57761,TRIB3
1978,EIF4EBP1
23338,JADE2
7852,CXCR4
10007,GNPDA1
896,CCND3
55033,FKBP14
4925,NUCB2
57019,CIAPIN1
6251,RSU1
91949,COG7
5777,PTPN6
84617,TUBB6
25,ABL1
1846,DUSP4
899,CCNF
5782,PTPN12
3303,HSPA1A
5106,PCK2
5925,RB1
79850,FAM57A
2673,GFPT1
51466,EVL
644,BLVRA
2852,GPER1
6284,S100A13
55837,EAPP
2131,EXT1
4605,MYBL2
5427,POLE2
6810,STX4
5331,PLCB3
54499,TMCO1
142,PARP1
25966,C2CD2
11007,CCDC85B
55608,ANKRD10
1643,DDB2
1662,DDX10
9702,CEP57
25805,BAMBI
3033,HADH
11031,RAB31
2745,GLRX
10057,ABCC5
5985,RFC5
9961,MVP
3280,HES1
3925,STMN1
2582,GALE
55958,KLHL9
5792,PTPRF
51465,UBE2J1
2542,SLC37A4
5236,PGM1
4016,LOXL1
5347,PLK1
4651,MYO10
10641,NPRL2
3988,LIPA
11137,PWP1
9842,PLEKHM1
26227,PHGDH
7982,ST7
10493,VAT1
3551,IKBKB
10112,KIF20A
1001,CDH3
5108,PCM1
8870,IER3
23635,SSBP2
2195,FAT1
29916,SNX11
2810,SFN
8731,RNMT
1956,EGFR
5993,RFX5
10276,NET1
11142,PKIG
1666,DECR1
79187,FSD1
1021,CDK6
51382,ATP6V1D
4864,NPC1
8318,CDC45
4232,MEST
9695,EDEM1
4638,MYLK
5050,PAFAH1B3
813,CALU
9712,USP6NL
3964,LGALS8
64943,NT5DC2
9738,CCP110
26020,LRP10
481,ATP1B1
6793,STK10
5019,OXCT1
7358,UGDH
291,SLC25A4
58472,SQRDL
5699,PSMB10
50865,HEBP1
2264,FGFR4
10973,ASCC3
1029,CDKN2A
9697,TRAM2
5831,PYCR1
23200,ATP11B
8202,NCOA3
51293,CD320
1027,CDKN1B
57804,POLD4
8061,FOSL1
10962,MLLT11
5566,PRKACA
10153,CEBPZ
2597,GAPDH
874,CBR3
57149,LYRM1
2101,ESRRA
8664,EIF3D
5250,SLC25A3
4736,RPL10A
1327,COX4I1
7184,HSP90B1
4478,MSN
9948,WDR1
7534,YWHAZ
5034,P4HB
6282,S100A11
8655,DYNLL1
2806,GOT2
23521,RPL13A
10097,ACTR2
3915,LAMC1
8682,PEA15
10960,LMAN2
7791,ZYX
6202,RPS8
2034,EPAS1
23022,PALLD
10945,KDELR1
7414,VCL
22872,SEC31A
5479,PPIB
710,SERPING1
10155,TRIM28
10527,IPO7
3728,JUP
9867,PJA2
3115,HLA-DPB1
8531,YBX3
2773,GNAI3
6415,SEPW1
6238,RRBP1
830,CAPZA2
1601,DAB2
397,ARHGDIB
3491,CYR61
307,ANXA4
4698,NDUFA5
2026,ENO2
10627,MYL12A
2012,EMP1
3678,ITGA5
1340,COX6B1
3726,JUNB
4629,MYH11
3487,IGFBP4
10951,CBX1
11331,PHB2
8906,AP1G2
800,CALD1
3339,HSPG2
51593,SRRT
7805,LAPTM5
4722,NDUFS3
4060,LUM
165,AEBP1
26509,MYOF
1155,TBCB
3615,IMPDH2
10095,ARPC1B
4811,NID1
4706,NDUFAB1
9592,IER2
706,TSPO
7450,VWF
25937,WWTR1
10771,ZMYND11
10920,COPS8
5590,PRKCZ
27122,DKK3
3910,LAMA4
7408,VASP
1674,DES
5159,PDGFRB
72,ACTG2
4256,MGP
522,ATP5J
10919,EHMT2
4820,NKTR
1278,COL1A2
1513,CTSK
8932,MBD2
8673,VAMP8
6840,SVIL
2059,EPS8
2776,GNAQ
403,ARL3
322,APBB1
7456,WIPF1
558,AXL
2331,FMOD
4052,LTBP1
2200,FBN1
4026,LPP
4323,MMP14
6672,SP100
22918,CD93
1520,CTSS
287,ANK2
8803,SUCLA2
3059,HCLS1
730,C7
6776,STAT5A
1535,CYBA
4719,NDUFS1
857,CAV1
2550,GABBR1
4130,MAP1A
9770,RASSF2
54987,C1orf123
4854,NOTCH3
7094,TLN1
7318,UBA7
2632,GBE1
477,ATP1A2
858,CAV2
5264,PHYH
4709,NDUFB3
963,CD53
23593,HEBP2
10231,RCAN2
6640,SNTA1
9638,FEZ1
9839,ZEB2
9377,COX5A
5311,PKD2
9933,PUM3
2014,EMP3
23082,PPRC1
9828,ARHGEF17
25802,LMOD1
2615,LRRC32
22911,WDR47
3109,HLA-DMB
1264,CNN1
9706,ULK2
7169,TPM2
7305,TYROBP
10312,TCIRG1
11117,EMILIN1
5549,PRELP
2207,FCER1G
5698,PSMB9
5188,GATB
977,CD151
8425,LTBP4
9844,ELMO1
29902,FAM216A
10966,RAB40B
1346,COX7A1
1806,DPYD
1003,CDH5
4053,LTBP2
2237,FEN1
9737,GPRASP1
8639,AOC3
5350,PLN
2013,EMP2
6450,SH3BGR
3029,HAGH
4921,DDR2
6649,SOD3
10290,SPEG
5348,FXYD1
22899,ARHGEF15
6876,TAGLN
5638,PRRG1
9180,OSMR
7220,TRPC1
57447,NDRG2
30008,EFEMP2
27303,RBMS3
3671,ISLR
9666,DZIP3
5937,RBMS1
6525,SMTN
518,ATP5G3
5740,PTGIS
9188,DDX21
829,CAPZA1
87,ACTN1
1192,CLIC1
57515,SERINC1
8237,USP11
716,C1S
11167,FSTL1
284119,PTRF
2805,GOT1
304,ANXA2P2
3428,IFI16
516,ATP5G1
8402,SLC25A11
4191,MDH2
182,JAG1
7026,NR2F2
4615,MYD88
6307,MSMO1
1292,COL6A2
23208,SYT11
10979,FERMT2
6713,SQLE
25865,PRKD2
837,CASP4
1634,DCN
8764,TNFRSF14
7005,TEAD3
11030,RBPMS
3588,IL10RB
11145,PLA2G16
125,ADH1B
972,CD74
27295,PDLIM3
7041,TGFB1I1
83604,TMEM47
5579,PRKCB
9863,MAGI2
22927,HABP4
10197,PSME3
3418,IDH2
2273,FHL1
3705,ITPK1
10278,EFS
5213,PFKM
1281,COL3A1
2992,GYG1
4162,MCAM
10579,TACC2
7417,VDAC2
23204,ARL6IP1
3688,ITGB1
1284,COL4A2
79026,AHNAK
3113,HLA-DPA1
130074,FAM168B
5411,PNN
715,C1R
4000,LMNA
57017,COQ9
55970,GNG12
10213,PSMD14
8829,NRP1
9905,SGSM2
2799,GNS
64764,CREB3L2
1997,ELF1
219654,ZCCHC24
22984,PDCD11
23218,NBEAL2
23277,CLUH
1289,COL5A1
23371,TNS2
22982,DIP2C
64112,MOAP1
23396,PIP5K1C
140609,NEK7
202,AIM1
10486,CAP2
10000,AKT3
5781,PTPN11
9444,QKI
6237,RRAS
157922,CAMSAP1
4239,MFAP4
23336,SYNM
157567,ANKRD46
89927,C16orf45
6935,ZEB1
23102,TBC1D2B
5305,PIP4K2A
9793,CKAP5
84909,C9orf3
7373,COL14A1
26112,CCDC69
10484,SEC23A
23492,CBX7
221749,PXDC1
138151,NACC2
112464,PRKCDBP
6093,ROCK1
989,SEPTIN7
283638,CEP170B
23194,FBXL7
26278,SACS
10346,TRIM22
8777,MPDZ
841,CASP8
54587,MXRA8
1291,COL6A1
92689,FAM114A1
23066,CAND2
6945,MLX
2316,FLNA
4293,MAP3K9
2934,GSN
2271,FH
50488,MINK1
25827,FBXL2
4131,MAP1B
3672,ITGA1
85458,DIXDC1
126393,HSPB6
55233,MOB1A
3913,LAMB2
5725,PTBP1
3133,HLA-E
29927,SEC61A1
373156,GSTK1
51155,HN1
79188,TMEM43
58190,CTDSP1
5859,QARS
26354,GNL3
79901,CYBRD1
55742,PARVA
55827,DCAF6
116496,FAM129A
11177,BAZ1A
2287,FKBP3
64061,TSPYL2
54502,RBM47
53827,FXYD5
10580,SORBS1
79792,GSDMD
4702,NDUFA8
55156,ARMC1
4708,NDUFB2
79443,FYCO1
9240,PNMA1
64745,METTL17
25796,PGLS
79641,ROGDI
25959,KANK2
56942,CMC2
28978,TMEM14A
54963,UCKL1
55268,ECHDC2
64778,FNDC3B
10186,LHFP
51310,SLC22A17
23753,SDF2L1
54873,PALMD
80279,CDK5RAP3
80346,REEP4
2217,FCGRT
55843,ARHGAP15
51291,GMIP
54540,FAM193B
27129,HSPB7
55084,SOBP
79812,MMRN2
64123,ADGRL4
9064,MAP3K6
2121,EVC
51226,COPZ2
64231,MS4A6A
4054,LTBP3
57018,CCNL1
55679,LIMS2
81873,ARPC5L
22955,SCMH1
81669,CCNL2
81892,SLIRP
83468,GLT8D2
29108,PYCARD
26353,HSPB8
10163,WASF2
7145,TNS1
254102,EHBP1L1
57698,SHTN1
285203,EOGT
79137,FAM134A
9510,ADAMTS1
2000,ELF4
4134,MAP4
1952,CELSR2
1760,DMPK
5252,PHF1
85360,SYDE1
30846,EHD2
57572,DOCK6
64834,ELOVL1
51063,CALHM2
2049,EPHB3
8717,TRADD
10594,PRPF8
11315,PARK7
6135,RPL11
4735,SEPTIN2
6141,RPL18
8665,EIF3F
4677,NARS
56910,STARD7
1655,DDX5
6128,RPL6
1603,DAD1
3608,ILF2
4841,NONO
3326,HSP90AB1
8724,SNX3
4670,HNRNPM
9045,RPL14
10959,TMED2
8661,EIF3A
81,ACTN4
1173,AP2M1
9782,MATR3
10487,CAP1
10397,NDRG1
5216,PFN1
6647,SOD1
65108,MARCKSL1
4924,NUCB1
10399,RACK1
6746,SSR2
292,SLC25A5
5476,CTSA
9804,TOMM20
9741,LAPTM4A
754,PTTG1IP
9295,SRSF11
23450,SF3B3
3313,HSPA9
10971,YWHAQ
57062,DDX24
10577,NPC2
1933,EEF1B2
9516,LITAF
5589,PRKCSH
2280,FKBP1A
37,ACADVL
22919,MAPRE1
10121,ACTR1A
2876,GPX1
5230,PGK1
1200,TPP1
2782,GNB1
4926,NUMA1
5901,RAN
4779,NFE2L1
10550,ARL6IP5
1808,DPYSL2
1495,CTNNA1
23196,FAM120A
9689,BZW1
468,ATF4
308,ANXA5
4035,LRP1
5695,PSMB7
50,ACO2
4170,MCL1
10574,CCT7
3920,LAMP2
6159,RPL29
5351,PLOD1
6319,SCD
5908,RAP1B
1508,CTSB
3735,KARS
5499,PPP1CA
51669,SARAF
2783,GNB2
3015,H2AFZ
23019,CNOT1
1718,DHCR24
11171,STRAP
6281,S100A10
10528,NOP56
10575,CCT4
3301,DNAJA1
7385,UQCRC2
1152,CKB
389,RHOC
6745,SSR1
10724,MGEA5
9403,SELENOF
7203,CCT3
5496,PPM1G
6734,SRPRA
694,BTG1
3959,LGALS3BP
1337,COX6A1
7913,DEK
6132,RPL8
6125,RPL5
473,RERE
3281,HSBP1
3150,HMGN1
2746,GLUD1
8079,MLF2
10989,IMMT
6749,SSRP1
6386,SDCBP
22928,SEPHS2
27230,SERP1
59,ACTA2
5538,PPT1
4190,MDH1
5160,PDHA1
966,CD59
10970,CKAP4
6748,SSR4
928,CD9
3032,HADHB
10628,TXNIP
301,ANXA1
7533,YWHAH
11034,DSTN
4267,CD99
3187,HNRNPH1
120,ADD3
7052,TGM2
1843,DUSP1
5870,RAB6A
23646,PLD3
2804,GOLGB1
2040,STOM
5954,RCN1
8761,PABPC4
1537,CYC1
5701,PSMC2
23451,SF3B1
4809,SNU13
9144,SYNGR2
526,ATP6V1B2
5931,RBBP7
6389,SDHA
6235,RPS29
1611,DAP
378,ARF4
3956,LGALS1
2879,GPX4
7057,THBS1
1434,CSE1L
5425,POLD2
1363,CPE
5226,PGD
4245,MGAT1
999,CDH1
1350,COX7C
1892,ECHS1
6741,SSB
10457,GPNMB
1965,EIF2S1
10456,HAX1
7078,TIMP3
6124,RPL4
9927,MFN2
396,ARHGDIA
10054,UBA2
3710,ITPR3
5306,PITPNA
3417,IDH1
5707,PSMD1
3065,HDAC1
5358,PLS3
10961,ERP29
6625,SNRNP70
4714,NDUFB8
2023,ENO1
1653,DDX1
5894,RAF1
6721,SREBF2
5315,PKM
5704,PSMC4
6217,RPS16
6897,TARS
11316,COPE
231,AKR1B1
6726,SRP9
5686,PSMA5
2224,FDPS
5869,RAB5B
3182,HNRNPAB
327,APEH
23608,MKRN1
23478,SEC11A
26118,WSB1
9775,EIF4A3
10541,ANP32B
6451,SH3BGRL
10581,IFITM2
506,ATP5B
908,CCT6A
2114,ETS2
5917,RARS
6778,STAT6
11176,BAZ2A
1315,COPB1
4947,OAZ2
678,ZFP36L2
5339,PLEC
5516,PPP2CB
3185,HNRNPF
1665,DHX15
7345,UCHL1
10181,RBM5
23471,TRAM1
4259,MGST3
10980,COPS6
55041,PLEKHB2
3295,HSD17B4
79084,WDR77
1809,DPYSL3
7265,TTC1
1293,COL6A3
8729,GBF1
10159,ATP6AP2
1266,CNN3
7072,TIA1
1728,NQO1
7411,VBP1
3675,ITGA3
6240,RRM1
1736,DKC1
5768,QSOX1
5955,RCN2
1075,CTSC
10105,PPIF
10598,AHSA1
2926,GRSF1
3912,LAMB1
7045,TGFBI
6723,SRM
9296,ATP6V1F
5684,PSMA3
9320,TRIP12
3916,LAMP1
